RNA Tumor Sample Barcode,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,pValue,Correlation,RMSE,Absolute score (sig.score),aDC,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ memory T-cells,CD4+ naive T-cells,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD8+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,cDC,Chondrocytes,Class-switched memory B-cells,CLP,CMP,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,Hepatocytes,HSC,iDC,Keratinocytes,ly Endothelial cells,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,MEP,Mesangial cells,Monocytes,MPP,MSC,mv Endothelial cells,Myocytes,naive B-cells,Neurons,Neutrophils,NK cells,NKT,Osteoblast,pDC,Pericytes,Plasma cells,Platelets,Preadipocytes,pro B-cells,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,ImmuneScore,StromaScore,MicroenvironmentScore
CRC.SW.U0264.T,0.111695 ,0.000000 ,0.275748 ,0.012960 ,0.000000 ,0.217274 ,0.000320 ,0.030619 ,0.013179 ,0.000000 ,0.054307 ,0.000000 ,0.013431 ,0.064453 ,0.045218 ,0.147312 ,0.002985 ,0.000000 ,0.000000 ,0.074539 ,0.024249 ,0.004466 ,0.001000 ,0.491370 ,0.870963 ,1.092755 ,0.454124 ,0.408303 ,0.856394 ,1.199415 ,0.000000 ,0.341812 ,0.036007 ,0.084347 ,0.008953 ,0.000000 ,0.000000 ,0.320477 ,0.394957 ,0.073679 ,1.326627 ,0.565888 ,0.432627 ,0.040453 ,0.055626 ,0.288559 ,0.486981 ,0.527285 ,0.054025 ,0.006047 ,1.162093 ,0.047350 ,0.000000 ,1.236842 ,2.305887 ,0.084782 ,0.467506 ,0.271650 ,0.149661 ,0.311326 ,0.226113 ,0.067775 ,0.055221 ,0.308423 ,0.136916 ,0.520765 ,0.289071 ,0.000000 ,0.000000 ,0.110157 ,0.010530 ,0.174055 ,0.152457 ,0.000000 ,0.000000 ,0.504562 ,0.000087 ,0.885492 ,0.852217 ,0.536629 ,0.000000 ,0.748622 ,0.023632 ,0.083970 ,0.000000 ,0.764119 ,0.000000 ,0.000000 ,1.388034 ,0.227241 ,2.137945 ,1.028688 ,3.166634 
CRC.SW.U0266.T,0.000000 ,0.018600 ,0.095178 ,0.018618 ,0.000000 ,0.182534 ,0.005787 ,0.006170 ,0.000000 ,0.000000 ,0.023453 ,0.000000 ,0.000000 ,0.040878 ,0.029404 ,0.119177 ,0.000000 ,0.003017 ,0.048374 ,0.019487 ,0.004609 ,0.009573 ,0.011000 ,0.296410 ,0.960009 ,0.624858 ,0.287763 ,0.150641 ,0.000000 ,1.216911 ,0.241590 ,0.407653 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.212395 ,0.200314 ,0.203136 ,0.000000 ,1.243239 ,0.000000 ,0.337112 ,0.823242 ,0.132833 ,0.157922 ,0.239279 ,0.338783 ,0.093024 ,0.070007 ,0.299426 ,0.229534 ,0.025568 ,1.213956 ,2.041342 ,0.029314 ,0.166276 ,0.413478 ,0.287282 ,0.156669 ,0.236556 ,0.026098 ,0.056942 ,0.336145 ,0.292891 ,0.226000 ,0.000000 ,0.000000 ,0.115600 ,0.099007 ,0.075606 ,0.187183 ,0.008104 ,0.012797 ,0.026958 ,0.741599 ,0.239377 ,0.791877 ,0.000000 ,0.231744 ,0.000000 ,0.139962 ,0.188354 ,0.020546 ,0.093744 ,1.008494 ,0.000000 ,1.244310 ,1.641970 ,0.000000 ,1.735812 ,0.344673 ,2.080485 
CRC.SW.U0267.T,0.020983 ,0.000000 ,0.025842 ,0.027209 ,0.000000 ,0.102515 ,0.000000 ,0.034992 ,0.001680 ,0.000000 ,0.021389 ,0.000000 ,0.000000 ,0.098209 ,0.085457 ,0.075295 ,0.000000 ,0.000000 ,0.000000 ,0.110297 ,0.000000 ,0.058869 ,0.025000 ,0.198492 ,1.014993 ,0.662737 ,0.513457 ,0.029106 ,0.598125 ,0.225701 ,0.000000 ,0.056623 ,0.019741 ,0.000000 ,0.012266 ,0.073239 ,0.045745 ,0.240664 ,0.404520 ,0.095412 ,0.026103 ,0.193837 ,0.067200 ,0.236765 ,0.000000 ,0.060899 ,0.404796 ,0.000000 ,0.240676 ,0.000000 ,0.776088 ,0.000000 ,0.014495 ,0.158144 ,1.410201 ,0.109927 ,0.304127 ,0.406826 ,0.314446 ,0.181641 ,0.073824 ,0.004438 ,0.032965 ,0.004025 ,0.000000 ,0.420138 ,0.535281 ,0.000000 ,0.231661 ,0.131067 ,0.000000 ,0.008938 ,0.008439 ,0.081136 ,0.102614 ,0.159458 ,0.000000 ,0.223221 ,0.560078 ,0.043665 ,0.000000 ,0.040629 ,0.020109 ,0.044946 ,0.033724 ,1.384522 ,0.000000 ,0.441976 ,0.366221 ,0.067618 ,1.151298 ,0.604995 ,1.756293 
CRC.SW.U0268.T,0.042125 ,0.000000 ,0.053822 ,0.005984 ,0.000000 ,0.177321 ,0.021635 ,0.027011 ,0.007584 ,0.000000 ,0.051169 ,0.000000 ,0.000000 ,0.087832 ,0.039209 ,0.066170 ,0.000000 ,0.008109 ,0.000000 ,0.106193 ,0.003178 ,0.032342 ,0.034000 ,0.183231 ,1.010724 ,0.729681 ,0.162645 ,0.240410 ,0.000000 ,0.898976 ,0.000000 ,0.470471 ,0.000000 ,0.116781 ,0.000000 ,0.000000 ,0.063266 ,0.028774 ,0.357709 ,0.000000 ,0.000000 ,0.040925 ,0.287144 ,0.545063 ,0.000000 ,0.001060 ,0.250755 ,0.000000 ,0.042116 ,0.000000 ,0.173846 ,0.000000 ,0.000000 ,0.259007 ,0.876506 ,0.012963 ,0.283571 ,0.250774 ,0.196226 ,0.084758 ,0.021939 ,0.016913 ,0.000000 ,0.183157 ,0.185162 ,0.125684 ,0.246918 ,0.000000 ,0.000000 ,0.154935 ,0.011735 ,0.234994 ,0.016262 ,0.273728 ,0.213667 ,0.439688 ,0.440633 ,0.231680 ,0.000000 ,0.191396 ,0.000000 ,0.070354 ,0.085108 ,0.027790 ,0.006541 ,1.794998 ,0.000000 ,1.613160 ,0.938716 ,0.000000 ,1.368411 ,0.332506 ,1.700916 
CRC.SW.U0269.T,0.026066 ,0.000000 ,0.091562 ,0.006762 ,0.000000 ,0.109370 ,0.005417 ,0.007542 ,0.000000 ,0.000000 ,0.023926 ,0.000000 ,0.000000 ,0.058710 ,0.026330 ,0.080015 ,0.000000 ,0.002289 ,0.000000 ,0.032382 ,0.013108 ,0.008304 ,0.006000 ,0.359345 ,0.934291 ,0.491782 ,0.085696 ,0.065992 ,0.642908 ,0.276579 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.222629 ,0.000000 ,0.000000 ,0.000000 ,0.086564 ,0.205197 ,0.139234 ,0.792212 ,0.000000 ,0.099669 ,0.501658 ,0.079057 ,0.249735 ,0.003126 ,0.680630 ,0.000000 ,0.019937 ,1.112445 ,1.405978 ,0.078959 ,0.514995 ,0.199601 ,0.077593 ,0.120662 ,0.080358 ,0.021937 ,0.035887 ,0.016745 ,0.094341 ,0.229505 ,0.000000 ,0.000000 ,0.000000 ,0.178484 ,0.062709 ,0.098641 ,0.019729 ,0.018922 ,0.000000 ,0.072437 ,0.154035 ,0.000000 ,0.537247 ,0.129997 ,0.000000 ,0.000000 ,0.028308 ,0.098659 ,0.072605 ,1.250677 ,0.000000 ,0.498182 ,0.122996 ,0.000000 ,0.502791 ,0.624140 ,1.126931 
CRC.SW.U0270.T,0.063594 ,0.002387 ,0.150327 ,0.058753 ,0.000000 ,0.238061 ,0.000000 ,0.062497 ,0.041115 ,0.000000 ,0.000000 ,0.078919 ,0.000000 ,0.084543 ,0.042482 ,0.096634 ,0.000086 ,0.029566 ,0.000000 ,0.024136 ,0.014841 ,0.033890 ,0.010000 ,0.297938 ,0.964395 ,1.021829 ,0.486056 ,0.026238 ,0.000000 ,1.930844 ,0.614777 ,0.637662 ,0.004080 ,0.000000 ,0.000000 ,0.000000 ,0.269098 ,0.588991 ,0.641285 ,0.161322 ,1.180253 ,0.000000 ,0.607175 ,0.684710 ,0.000000 ,0.130671 ,0.004434 ,0.356522 ,0.265112 ,0.000000 ,0.000000 ,0.000000 ,0.009334 ,0.303877 ,1.382580 ,0.081969 ,0.025277 ,0.000000 ,0.047158 ,0.041174 ,0.148857 ,0.000000 ,0.023267 ,0.524275 ,0.243913 ,0.273472 ,0.026893 ,0.000000 ,0.000000 ,0.040305 ,0.018756 ,0.339004 ,0.000000 ,0.250079 ,0.229738 ,0.699333 ,0.089189 ,0.754758 ,0.106510 ,0.306613 ,0.044400 ,0.000000 ,0.189175 ,0.086764 ,0.064158 ,0.819604 ,0.000000 ,1.961576 ,1.466063 ,0.000000 ,2.441730 ,0.015336 ,2.457066 
CRC.SW.U0271.T,0.002714 ,0.004653 ,0.042380 ,0.019102 ,0.000000 ,0.126655 ,0.008241 ,0.000000 ,0.007692 ,0.000000 ,0.038859 ,0.000000 ,0.000000 ,0.079302 ,0.010871 ,0.132382 ,0.003612 ,0.028983 ,0.000000 ,0.107270 ,0.003682 ,0.035146 ,0.080000 ,0.117075 ,1.040347 ,0.651545 ,0.580741 ,0.840473 ,0.559704 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.873315 ,0.567517 ,0.061304 ,0.026806 ,0.090953 ,0.271533 ,0.594737 ,0.111423 ,0.028062 ,0.000000 ,1.210799 ,0.213396 ,0.013264 ,1.114010 ,2.782081 ,0.039688 ,0.577143 ,0.473187 ,0.253133 ,0.325567 ,0.232257 ,0.097585 ,0.082068 ,0.000000 ,0.069820 ,0.238826 ,0.553886 ,0.000000 ,0.000000 ,0.181355 ,0.059419 ,0.000000 ,0.036587 ,0.350176 ,0.000000 ,0.571638 ,0.043885 ,0.032850 ,0.585790 ,0.133457 ,0.000000 ,0.866023 ,0.000000 ,0.106129 ,0.056761 ,1.160054 ,0.000000 ,0.084231 ,0.195796 ,0.007644 ,1.328309 ,1.323005 ,2.651314 
CRC.SW.U0273.T,0.058849 ,0.000000 ,0.073209 ,0.030226 ,0.000000 ,0.227710 ,0.000000 ,0.000000 ,0.015306 ,0.000000 ,0.037623 ,0.000000 ,0.000000 ,0.038540 ,0.041931 ,0.072717 ,0.000000 ,0.008709 ,0.000000 ,0.067222 ,0.014105 ,0.030470 ,0.015000 ,0.253005 ,0.981768 ,0.716617 ,0.447557 ,0.003264 ,0.000000 ,0.997574 ,0.359292 ,0.134137 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.217666 ,0.215872 ,0.058026 ,0.000000 ,0.202425 ,0.078433 ,0.170194 ,0.661550 ,0.000000 ,0.044848 ,0.505953 ,0.080484 ,0.194546 ,0.017962 ,0.517949 ,0.035061 ,0.026337 ,0.835419 ,0.707779 ,0.018757 ,0.526429 ,0.144200 ,0.181631 ,0.057216 ,0.296974 ,0.033306 ,0.137490 ,0.315069 ,0.228280 ,0.338218 ,0.242888 ,0.000000 ,0.186273 ,0.264131 ,0.064799 ,0.218933 ,0.046900 ,0.124247 ,0.000000 ,0.444942 ,0.041573 ,0.434232 ,0.526004 ,0.186389 ,0.073513 ,0.389281 ,0.207724 ,0.089743 ,0.061066 ,1.236330 ,0.000000 ,0.851457 ,0.619826 ,0.138078 ,1.431392 ,0.513583 ,1.944975 
CRC.SW.U0274.T,0.000000 ,0.007229 ,0.213476 ,0.043167 ,0.000000 ,0.075275 ,0.000000 ,0.025563 ,0.044736 ,0.000000 ,0.027333 ,0.003433 ,0.000000 ,0.053548 ,0.063128 ,0.098049 ,0.000000 ,0.004951 ,0.000000 ,0.025620 ,0.000000 ,0.086359 ,0.001000 ,0.455093 ,0.889578 ,0.771868 ,0.367629 ,0.053465 ,0.009309 ,1.204710 ,1.009976 ,0.047868 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.259637 ,0.000000 ,0.256852 ,0.000000 ,0.000000 ,0.040286 ,0.435355 ,1.262654 ,0.000000 ,0.059970 ,0.166078 ,0.272100 ,0.298630 ,0.000000 ,0.329430 ,0.000000 ,0.025805 ,0.535412 ,1.414352 ,0.071934 ,0.195588 ,0.213105 ,0.168618 ,0.100472 ,0.101285 ,0.118978 ,0.065784 ,0.264888 ,0.096043 ,0.189966 ,0.250537 ,0.000000 ,0.003468 ,0.100321 ,0.038161 ,0.070192 ,0.016925 ,0.524133 ,0.000000 ,0.767743 ,0.208315 ,0.450052 ,0.395255 ,0.479574 ,0.060449 ,0.203258 ,0.238094 ,0.068884 ,0.098789 ,0.775669 ,0.000000 ,1.596567 ,1.116117 ,0.000000 ,1.750561 ,0.274486 ,2.025047 
CRC.SW.U0275.T,0.022661 ,0.000000 ,0.083688 ,0.045506 ,0.000000 ,0.109305 ,0.000000 ,0.052881 ,0.000000 ,0.000000 ,0.025358 ,0.000000 ,0.008301 ,0.060651 ,0.026331 ,0.071050 ,0.000000 ,0.009161 ,0.000000 ,0.026566 ,0.000000 ,0.003224 ,0.010000 ,0.300107 ,0.961402 ,0.544683 ,0.312303 ,0.162447 ,0.063909 ,0.921567 ,0.186345 ,0.154510 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.077606 ,0.382685 ,0.282653 ,0.022177 ,0.123156 ,0.016026 ,0.333290 ,0.670947 ,0.000000 ,0.029927 ,0.162964 ,0.000000 ,0.181497 ,0.000000 ,0.454771 ,0.000000 ,0.005540 ,0.181528 ,1.891061 ,0.017466 ,0.171161 ,0.317783 ,0.202635 ,0.151168 ,0.125769 ,0.045359 ,0.013287 ,0.211094 ,0.082869 ,0.230106 ,0.005916 ,0.000000 ,0.450612 ,0.076782 ,0.012983 ,0.157169 ,0.008299 ,0.002248 ,0.000000 ,0.283736 ,0.252909 ,0.258577 ,0.423927 ,0.146388 ,0.089921 ,0.000000 ,0.286710 ,0.008873 ,0.052387 ,1.171974 ,0.000000 ,1.124334 ,0.723146 ,0.000000 ,1.190596 ,0.390091 ,1.580688 
CRC.SW.U0276.T,0.012970 ,0.000000 ,0.034461 ,0.022915 ,0.000000 ,0.106890 ,0.017324 ,0.028145 ,0.000000 ,0.000000 ,0.017279 ,0.000000 ,0.000000 ,0.067010 ,0.007872 ,0.057670 ,0.000000 ,0.023834 ,0.000000 ,0.034917 ,0.000000 ,0.013547 ,0.049000 ,0.154095 ,1.021338 ,0.444835 ,0.379114 ,0.000000 ,0.000000 ,0.000000 ,0.291028 ,0.458935 ,0.071573 ,0.231677 ,0.000000 ,0.000000 ,0.182482 ,0.406919 ,0.326617 ,0.000000 ,0.400361 ,0.000000 ,0.028813 ,1.153787 ,0.000000 ,0.103333 ,0.359758 ,0.000000 ,0.000000 ,0.032833 ,0.000000 ,0.000000 ,0.000000 ,0.806136 ,1.553270 ,0.000000 ,0.350237 ,0.073913 ,0.079769 ,0.000000 ,0.046223 ,0.035234 ,0.000000 ,0.000000 ,0.070365 ,0.000000 ,0.020705 ,0.000000 ,0.000000 ,0.082089 ,0.089753 ,0.000000 ,0.059723 ,0.030733 ,0.000000 ,0.280984 ,0.226050 ,0.742634 ,0.000000 ,0.058297 ,0.012911 ,0.015591 ,0.051754 ,0.032050 ,0.029833 ,1.903006 ,0.000000 ,1.209531 ,0.112530 ,0.253365 ,0.609002 ,0.179879 ,0.788881 
CRC.SW.U0277.T,0.001575 ,0.000000 ,0.067120 ,0.000000 ,0.000000 ,0.144486 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.030114 ,0.000000 ,0.001607 ,0.056284 ,0.000000 ,0.061465 ,0.000000 ,0.014443 ,0.000000 ,0.035617 ,0.000669 ,0.006115 ,0.015000 ,0.255645 ,0.980666 ,0.419495 ,0.055903 ,0.000000 ,0.000000 ,0.044018 ,0.000000 ,0.186959 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.150019 ,0.017398 ,0.000000 ,0.000000 ,0.582165 ,0.130959 ,0.000000 ,1.285457 ,0.000000 ,0.076204 ,0.455301 ,0.000000 ,0.075152 ,0.000000 ,0.000000 ,0.000000 ,0.008430 ,1.050325 ,0.875266 ,0.070805 ,0.309762 ,0.202460 ,0.132570 ,0.041860 ,0.041223 ,0.105204 ,0.000000 ,0.000000 ,0.040837 ,0.087087 ,0.065905 ,0.000000 ,0.000000 ,0.134586 ,0.102909 ,0.000000 ,0.058195 ,0.080712 ,0.000000 ,0.704596 ,0.316289 ,0.102612 ,0.192028 ,0.048866 ,0.000000 ,0.173303 ,0.000000 ,0.134588 ,0.058776 ,1.290166 ,0.000000 ,0.224947 ,0.729803 ,0.082016 ,0.351947 ,0.227650 ,0.579598 
CRC.SW.U0278.T,0.011074 ,0.000000 ,0.017777 ,0.019835 ,0.000000 ,0.115897 ,0.014024 ,0.024060 ,0.002198 ,0.000000 ,0.026523 ,0.000000 ,0.006651 ,0.008144 ,0.024990 ,0.048208 ,0.003820 ,0.005967 ,0.000000 ,0.014178 ,0.000000 ,0.000333 ,0.079000 ,0.119607 ,1.045953 ,0.343680 ,0.061222 ,0.000000 ,0.000000 ,0.139648 ,0.956389 ,0.135098 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.205936 ,0.189882 ,0.151842 ,0.000000 ,0.085288 ,0.000000 ,0.030367 ,1.170958 ,0.000000 ,0.012909 ,0.016259 ,0.000000 ,0.288567 ,0.054792 ,0.000000 ,0.080066 ,0.008895 ,0.081366 ,0.342212 ,0.000000 ,0.035889 ,0.000000 ,0.000000 ,0.000000 ,0.072482 ,0.054118 ,0.138189 ,0.046810 ,0.112452 ,0.104513 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.121947 ,0.000000 ,0.072684 ,0.000000 ,0.000000 ,0.795565 ,0.090386 ,0.183743 ,0.000000 ,0.054334 ,0.148022 ,0.000000 ,0.250121 ,0.065086 ,0.093793 ,1.079863 ,0.000000 ,1.222577 ,0.269694 ,0.000000 ,0.276615 ,0.008129 ,0.284744 
CRC.SW.U0279.T,0.016943 ,0.000000 ,0.298894 ,0.021631 ,0.000000 ,0.149085 ,0.000000 ,0.000000 ,0.000175 ,0.000000 ,0.044558 ,0.000000 ,0.002685 ,0.000000 ,0.000000 ,0.061611 ,0.000000 ,0.008004 ,0.000000 ,0.047539 ,0.000000 ,0.015895 ,0.000000 ,0.551610 ,0.834011 ,0.667020 ,0.000000 ,0.022683 ,0.000000 ,1.808831 ,0.733467 ,0.468690 ,0.171236 ,0.296691 ,0.140514 ,0.000000 ,0.203373 ,0.383963 ,0.129830 ,0.000000 ,0.690840 ,0.000000 ,0.391152 ,0.239260 ,0.000000 ,0.101478 ,0.010870 ,0.386347 ,0.104769 ,0.005674 ,0.000000 ,0.018174 ,0.021458 ,0.287682 ,1.158447 ,0.000000 ,0.006633 ,0.000000 ,0.000000 ,0.023822 ,0.181164 ,0.098218 ,0.078627 ,0.314121 ,0.051102 ,0.009662 ,0.000000 ,0.000000 ,0.110224 ,0.000000 ,0.053984 ,0.319422 ,0.030626 ,0.000000 ,0.000000 ,0.061241 ,0.091723 ,0.172913 ,0.122115 ,0.588922 ,0.022768 ,0.099884 ,0.293313 ,0.021312 ,0.025592 ,1.275177 ,0.000000 ,0.539261 ,0.047531 ,0.235031 ,2.105649 ,0.016777 ,2.122426 
CRC.SW.U0280.T,0.000000 ,0.011181 ,0.068298 ,0.057414 ,0.000000 ,0.196515 ,0.028967 ,0.020076 ,0.003323 ,0.000000 ,0.022892 ,0.000000 ,0.011972 ,0.002322 ,0.022672 ,0.029602 ,0.000627 ,0.005161 ,0.000000 ,0.039370 ,0.000090 ,0.000000 ,0.020000 ,0.221455 ,1.008357 ,0.520482 ,0.704134 ,0.056323 ,0.000000 ,0.359669 ,0.740011 ,0.874146 ,0.000000 ,0.159476 ,0.000000 ,0.110839 ,0.339834 ,0.596934 ,0.392295 ,0.221901 ,0.047396 ,0.000000 ,0.196211 ,1.043374 ,0.000000 ,0.033406 ,0.195908 ,0.000000 ,0.305638 ,0.093936 ,0.115362 ,0.000000 ,0.017946 ,0.683288 ,0.619333 ,0.115664 ,0.203349 ,0.156963 ,0.129377 ,0.087509 ,0.294498 ,0.036601 ,0.015258 ,0.067027 ,0.222195 ,0.257927 ,0.000000 ,0.000000 ,0.000000 ,0.074500 ,0.003113 ,0.031329 ,0.046202 ,0.000000 ,0.000000 ,0.300669 ,0.000000 ,0.371398 ,0.027502 ,0.081662 ,0.037048 ,0.000000 ,0.193204 ,0.135121 ,0.054602 ,0.964396 ,0.000000 ,1.408396 ,0.781050 ,0.308904 ,1.067298 ,0.183797 ,1.251095 
CRC.SW.U0281.T,0.026061 ,0.000000 ,0.249615 ,0.034350 ,0.006643 ,0.088823 ,0.013122 ,0.028896 ,0.000000 ,0.000000 ,0.041888 ,0.000000 ,0.000000 ,0.086497 ,0.032753 ,0.051290 ,0.000000 ,0.001076 ,0.000000 ,0.093826 ,0.000000 ,0.032387 ,0.001000 ,0.481710 ,0.875642 ,0.787227 ,0.314389 ,0.049682 ,0.346908 ,1.623099 ,0.703686 ,0.307325 ,0.118358 ,0.000000 ,0.076012 ,0.183710 ,0.171936 ,0.225760 ,0.121092 ,0.000000 ,0.561558 ,0.000000 ,0.199273 ,0.354033 ,0.000000 ,0.124138 ,0.461719 ,0.060234 ,0.201541 ,0.000000 ,0.378943 ,0.000000 ,0.025125 ,0.583707 ,1.687194 ,0.009098 ,0.400423 ,0.083129 ,0.147385 ,0.069439 ,0.158860 ,0.010439 ,0.072199 ,0.558581 ,0.269842 ,0.240119 ,0.291114 ,0.000000 ,0.000000 ,0.268044 ,0.054758 ,0.249553 ,0.016098 ,0.450479 ,0.000000 ,1.711154 ,0.170557 ,0.597321 ,0.608983 ,0.425832 ,0.000000 ,0.018034 ,0.239986 ,0.070869 ,0.111534 ,0.352154 ,0.000000 ,1.514695 ,0.202391 ,0.245577 ,2.011208 ,0.445172 ,2.456379 
CRC.SW.U0282.T,0.000000 ,0.011676 ,0.072015 ,0.035307 ,0.000000 ,0.232100 ,0.000507 ,0.000000 ,0.002080 ,0.000000 ,0.051426 ,0.000000 ,0.027530 ,0.016924 ,0.070180 ,0.086571 ,0.004498 ,0.000000 ,0.000000 ,0.025002 ,0.015507 ,0.000000 ,0.028000 ,0.195559 ,1.009549 ,0.651323 ,1.098919 ,0.050301 ,0.532291 ,0.110876 ,0.030824 ,0.293875 ,0.065616 ,0.231188 ,0.067211 ,0.157502 ,0.097133 ,0.297627 ,0.219630 ,0.092875 ,0.381571 ,0.302319 ,0.090278 ,0.262500 ,0.039555 ,0.147078 ,0.587719 ,0.085826 ,0.051013 ,0.000000 ,1.082589 ,0.032806 ,0.006386 ,0.570782 ,0.729163 ,0.047152 ,0.646145 ,0.257248 ,0.179053 ,0.205348 ,0.297078 ,0.077863 ,0.083207 ,0.000000 ,0.171091 ,0.191272 ,0.085123 ,0.000000 ,0.105665 ,0.193351 ,0.000000 ,0.000000 ,0.050712 ,0.000000 ,0.116200 ,0.120218 ,0.129893 ,0.423758 ,0.638506 ,0.153784 ,0.033202 ,0.076233 ,0.000000 ,0.084193 ,0.031233 ,0.847134 ,0.000000 ,1.153349 ,0.000000 ,0.277437 ,1.085496 ,0.860305 ,1.945801 
CRC.SW.U0285.T,0.029028 ,0.000000 ,0.075626 ,0.000000 ,0.000000 ,0.140939 ,0.009435 ,0.016354 ,0.027040 ,0.000000 ,0.048447 ,0.000000 ,0.000000 ,0.124289 ,0.015410 ,0.103794 ,0.000000 ,0.007854 ,0.025133 ,0.071204 ,0.007523 ,0.014770 ,0.018000 ,0.233159 ,0.988179 ,0.716845 ,0.503481 ,0.386471 ,0.579495 ,0.005762 ,0.000000 ,0.292058 ,0.000000 ,0.070455 ,0.000000 ,0.000000 ,0.114842 ,0.000000 ,0.000000 ,0.000000 ,1.703494 ,0.396969 ,0.195069 ,0.371736 ,0.000000 ,0.430373 ,0.420058 ,0.017009 ,0.108425 ,0.015272 ,1.316213 ,0.209732 ,0.000000 ,1.301863 ,2.108319 ,0.069222 ,0.470418 ,0.133214 ,0.096833 ,0.047881 ,0.195027 ,0.037389 ,0.009928 ,0.000000 ,0.304945 ,0.298163 ,0.424782 ,0.000000 ,0.000000 ,0.113606 ,0.012310 ,0.000000 ,0.055457 ,0.169772 ,0.000000 ,0.714857 ,0.099684 ,0.358173 ,0.584202 ,0.106815 ,0.000000 ,0.424017 ,0.000000 ,0.141064 ,0.056307 ,0.804292 ,0.000000 ,0.402380 ,0.988657 ,0.294773 ,0.964262 ,1.061371 ,2.025634 
CRC.SW.U0287.T,0.036993 ,0.000000 ,0.037809 ,0.044542 ,0.000000 ,0.137529 ,0.001646 ,0.000000 ,0.002700 ,0.000000 ,0.009489 ,0.000000 ,0.000000 ,0.071245 ,0.032641 ,0.085186 ,0.003752 ,0.000000 ,0.040761 ,0.018067 ,0.031460 ,0.000000 ,0.021000 ,0.212572 ,0.994676 ,0.553817 ,0.772268 ,0.166903 ,0.406063 ,0.111000 ,0.000000 ,0.402959 ,0.000000 ,0.049504 ,0.000000 ,0.000000 ,0.200402 ,0.233338 ,0.198690 ,0.000000 ,0.943489 ,0.321847 ,0.000000 ,0.622193 ,0.078806 ,0.271320 ,0.702810 ,0.188178 ,0.000000 ,0.033445 ,0.714504 ,0.480932 ,0.000000 ,1.011649 ,1.532803 ,0.000000 ,0.520223 ,0.462309 ,0.247875 ,0.207039 ,0.242266 ,0.109501 ,0.019177 ,0.000000 ,0.346100 ,0.018007 ,0.000947 ,0.000000 ,0.245009 ,0.218323 ,0.036958 ,0.000000 ,0.013960 ,0.004168 ,0.000000 ,0.705711 ,0.286235 ,0.196092 ,0.219545 ,0.075254 ,0.046200 ,0.239251 ,0.013258 ,0.013542 ,0.108126 ,0.964473 ,0.000000 ,1.082526 ,0.948841 ,0.106083 ,1.042020 ,0.792108 ,1.834128 
CRC.SW.U0288.T,0.000000 ,0.000039 ,0.176236 ,0.012516 ,0.000000 ,0.044351 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000305 ,0.000000 ,0.003981 ,0.048976 ,0.000000 ,0.033544 ,0.000000 ,0.002625 ,0.000000 ,0.007715 ,0.000000 ,0.000000 ,0.000000 ,0.566663 ,0.827424 ,0.330288 ,0.000000 ,0.000000 ,0.000000 ,0.199407 ,0.130789 ,0.020545 ,0.000000 ,0.014268 ,0.000000 ,0.000000 ,0.266223 ,0.091126 ,0.011721 ,0.000000 ,0.017937 ,0.000000 ,0.007517 ,0.334120 ,0.058895 ,0.000000 ,0.074830 ,0.000000 ,0.167937 ,0.002297 ,0.000000 ,0.000000 ,0.000000 ,0.105934 ,0.000000 ,0.028682 ,0.048378 ,0.000000 ,0.000000 ,0.025365 ,0.111791 ,0.014399 ,0.007164 ,0.019580 ,0.117431 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.027294 ,0.046989 ,0.000000 ,0.006384 ,0.000000 ,0.000000 ,0.105678 ,0.273078 ,0.156024 ,0.000000 ,0.334021 ,0.050476 ,0.000000 ,0.056411 ,0.028471 ,0.000000 ,1.618365 ,0.000000 ,0.913324 ,0.105317 ,0.000000 ,0.277728 ,0.037415 ,0.315143 
